Country,Expropriation risk
AFG,1
ALB,5
DZA,3
ASM,NA
VIR,NA
AND,NA
AGO,4
AIA,NA
ATG,NA
ARG,3
ARM,4
ABW,NA
AUS,7
AUT,7
AZE,5
BHS,5
BHR,5
BGD,3
BRB,6
BLR,3
BEL,7
BLZ,3
BEN,4
BMU,NA
BTN,NA
BOL,1
BES,NA
BIH,4
BWA,6
BRA,5
IOT,NA
VGB,6
BRN,7
BGR,7
BFA,4
BDI,2
CPV,5
KHM,4
CMR,4
CAN,7
CYM,NA
CAF,1
TCD,3
CHL,7
CHN,3
COL,5
COM,NA
COD,2
COG,3
COK,NA
CRI,6
CIV,4
HRV,7
CUB,2
CUW,NA
CYPNOR,NA
CYP,7
CZE,7
DNK,7
DJI,3
DMA,5
DOM,5
ECU,3
EGY,4
SLV,4
GNQ,2
ERI,1
EST,7
SWZ,4
ETH,3
FLK,NA
FRO,NA
FJI,NA
FIN,7
FRA,7
GUF,NA
PYF,6
GAB,2
GMB,4
GEO,5
DEU,7
GHA,5
GIB,NA
GRC,7
GRL,NA
GRD,NA
GLP,7
GUM,NA
GTM,4
GGY,7
GIN,2
GNB,3
GUY,4
HTI,2
HND,4
HKG,7
HUN,6
ISL,7
IND,5
IDN,4
IRN,2
IRQ,2
IRL,7
IMN,NA
ISR,7
ITA,7
JAM,6
JPN,7
JEY,7
JOR,5
KAZ,5
KEN,4
KIR,NA
PRK,2
KOR,7
XKX,4
KWT,4
KGZ,2
LAO,4
LVA,7
LBN,3
LSO,NA
LBR,3
LBY,1
LIE,NA
LTU,7
LUX,7
MAC,NA
MDG,4
MWI,4
MYS,6
MDV,4
MLI,3
MLT,7
MHL,NA
MTQ,NA
MRT,3
MUS,7
MYT,6
MEX,4
FSM,NA
MDA,5
MCO,NA
MNG,4
MNE,5
MSR,NA
MAR,5
MOZ,3
MMR,2
NAM,5
NRU,NA
NPL,3
NLD,7
NCL,6
NZL,7
NIC,3
NER,3
NGA,2
NIU,NA
NFK,NA
MKD,5
MNP,NA
NOR,7
OMN,6
PAK,3
PLW,5
PSE,1
PAN,5
PNG,4
PRY,4
PER,5
PHL,5
PCN,NA
POL,6
PRT,7
PRI,NA
QAT,5
REU,NA
ROU,7
RUS,3
RWA,5
BLM,NA
SHN,NA
KNA,NA
LCA,NA
MAF,NA
SPM,NA
VCT,NA
WSM,NA
SMR,NA
STP,4
SAU,4
SEN,5
SRB,5
SYC,7
SLE,4
SGP,7
SXM,NA
SVK,7
SVN,7
SLB,NA
SOM,1
ZAF,4
SSD,NA
ESP,7
LKA,4
SDN,2
SUR,4
SWE,7
CHE,7
SYR,1
TWN,7
TJK,3
TZA,3
THA,4
TLS,3
TGO,3
TKL,NA
TON,NA
TTO,5
TUN,5
TUR,3
TKM,2
TCA,6
TUV,NA
UGA,4
UKR,4
ARE,6
GBR,7
USA,7
URY,7
UZB,3
VUT,NA
VAT,NA
VEN,1
VNM,5
WLF,NA
ESH,4
YEM,1
ZMB,3
ZWE,2